name,aqi,co,no2,o3,pm25
barrie,30,na,1.7,30.4,17
belleville,30,na,2.7,30.4,17
brampton,30,na,7.3,27.2,30
brantford,38,na,3.8,29.6,38
burlington,38,na,6.2,24.8,38
chatham,30,na,3.6,30.4,25
cornwall,26,na,4.9,25.6,21
guelph,34,na,3.2,29.6,34
hamilton,57,na,5.3,24.8,57
kingston,30,na,3,29.6,13
kitchener,38,na,4,29.6,38
london,25,1,17.4,24.8,21
milton,42,na,6.1,26.4,42
mississauga,42,na,5,28.1,42
newmarket,30,na,3.6,29.6,21
north bay,29,na,1.5,28.9,9
oakville,38,na,3.5,28.9,38
oshawa,34,na,1.3,33.6,9
ottawa,25,5,7,24.1,25
peterborough,30,na,1.7,30.4,17
sarnia,29,na,6.2,28.9,17
sault ste. marie,27,na,8.7,27.2,13
st. catharines,38,na,4.7,28.1,38
sudbury,27,na,3.4,27.2,13
thunder bay,28,na,6.1,28.1,25
toronto,25,2.3,15,20,25
windsor,55,3.2,10,24.8,55
